                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                       2950                        1529     1.0000000000000000E+000     2.0000000000000000E-002     1.1961250575607498E+010     2.5634233542900503E+004     4.2456542795499554E+003     8.3186856527931440E+001     1.6880952163373539E+001     1.7754703302660825E+001     1.0000000000744468E-099     1.0000004510709253E-099     9.8011248006852891E-001     5.4829459111088027E-005     9.6980083857530139E-003     3.9448978533884833E-003     2.0994599497018741E-003     1.0000000000000000E+000     0.0000000000000000E+000     4.9242376303687602E-001     9.6056222362670503E-004     4.8664828380752256E-001     2.1877107157720127E-003     4.1621884450984779E-003     7.4277075378907220E-003     2.0994599496977780E-003     2.7419275935612447E-001     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     9.9999917414537676E-001     1.6820027099249277E+001     9.9999890458639751E-001     1.6804211907937638E+001     6.9443080876612023E+005     1.6715827714756684E+004     1.2021129800285608E+008     8.2800074289285291E+001     8.2800074289284154E+001     2.1979028940133118E-014     5.6552158753296151E+000     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6 
                       zone                           q                        logR                        logT                      logRho                        logP 
                          1     1.0000000000000000E+000     1.2273969391875381E+000     3.6279447148494111E+000    -7.8994024480566134E+000     3.5329235186957582E+000 
                          2     9.9999999999900002E-001     1.2273969358249452E+000     3.6279449123427767E+000    -7.8994013375908905E+000     3.5329256927845432E+000 
                          3     9.9999999999775002E-001     1.2273969316217148E+000     3.6279451317801645E+000    -7.8993995047735224E+000     3.5329278410146623E+000 
                          4     9.9999999999650002E-001     1.2273969274185030E+000     3.6279454609374269E+000    -7.8993975699992021E+000     3.5329294976349472E+000 
                          5     9.9999999999400002E-001     1.2273969190121132E+000     3.6279461192560558E+000    -7.8993923485495863E+000     3.5329352435720569E+000 
                          6     9.9999999998900002E-001     1.2273969021995406E+000     3.6279468324411552E+000    -7.8993880253013211E+000     3.5329413259986446E+000 
                          7     9.9999999998587508E-001     1.2273968916917841E+000     3.6279473810479996E+000    -7.8993844322224724E+000     3.5329443285768032E+000 
                          8     9.9999999998275013E-001     1.2273968811841141E+000     3.6279482039632045E+000    -7.8993792183919220E+000     3.5329514204190962E+000 
                          9     9.9999999997650013E-001     1.2273968601690239E+000     3.6279501241214662E+000    -7.8993657155100845E+000     3.5329662748140649E+000 
                         10     9.9999999996087519E-001     1.2273968076329205E+000     3.6279542388742456E+000    -7.8993368922697602E+000     3.5329994023095312E+000 
                         11     9.9999999992962518E-001     1.2273967025676300E+000     3.6279602742466697E+000    -7.8992941685758487E+000     3.5330478507277268E+000 
                         12     9.9999999989212518E-001     1.2273965765015833E+000     3.6279672703349148E+000    -7.8992448940229432E+000     3.5331040536435938E+000 
                         13     9.9999999984993770E-001     1.2273964346932393E+000     3.6279798917273789E+000    -7.8991570357769074E+000     3.5332041683263435E+000 
                         14     9.9999999974837517E-001     1.2273960933712666E+000     3.6279956718666941E+000    -7.8990413497822791E+000     3.5333307719434259E+000 
