                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                       1150                        1212     1.0000000000000000E+000     2.0000000000000000E-002     1.1645682126116545E+010     1.2416830192796350E+006     4.8219136041291849E+003     5.2853931663901745E+000     3.2988201332080545E+000     1.0794254502041957E+001     1.0000000000000000E-099     1.0000004510709263E-099     9.8011248006853580E-001     5.4829459128388398E-005     9.6980083857548614E-003     3.9448978533649049E-003     2.0994599496991966E-003     1.0000000000000000E+000     0.0000000000000000E+000     5.5024354982185752E-001     1.0295209760486819E-003     4.2866527627851880E-001     2.2806323804103190E-003     3.2855372863877246E-003     8.3056990235663899E-003     2.0994599496976596E-003     1.6835913256313137E-001     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     9.9999999428605924E-001     3.2964053015849184E+000     9.9999999131351669E-001     3.2954757443861200E+000     5.9988986708164863E+004     1.3463054493424124E+006     1.8920068356674049E+009     5.2730533545094369E+000     5.2730533545094387E+000     1.0848572930710932E-024     3.5888459130790079E-001     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6 
                       zone                           q                        logR                        logT                      logRho                        logP 
                          1     1.0000000000000000E+000     5.1835863646538660E-001     3.6832302921843056E+000    -7.2111229115024029E+000     4.2763311820686436E+000 
                          2     9.9999999999900002E-001     5.1835854409989224E-001     3.6832547457638221E+000    -7.2109520902450628E+000     4.2765261481714418E+000 
                          3     9.9999999999775002E-001     5.1835842868834636E-001     3.6832819223927364E+000    -7.2107618233052300E+000     4.2767428059382286E+000 
                          4     9.9999999999650002E-001     5.1835831332725724E-001     3.6833226955663725E+000    -7.2104780859188464E+000     4.2770675596374970E+000 
                          5     9.9999999999400002E-001     5.1835808275549677E-001     3.6834042763519936E+000    -7.2099084821645887E+000     4.2777186718733740E+000 
                          6     9.9999999998900002E-001     5.1835762221529347E-001     3.6834927371549666E+000    -7.2092944914553341E+000     4.2784219166948860E+000 
                          7     9.9999999998587508E-001     5.1835733478357171E-001     3.6835608192288110E+000    -7.2088216526389344E+000     4.2789633800094364E+000 
                          8     9.9999999998275013E-001     5.1835704766405144E-001     3.6836629938323302E+000    -7.2081142636512032E+000     4.2797724430415407E+000 
                          9     9.9999999997650013E-001     5.1835647435787968E-001     3.6839016395771416E+000    -7.2064706446258846E+000     4.2816538697801247E+000 
                         10     9.9999999996087519E-001     5.1835504649662867E-001     3.6844143502919118E+000    -7.2029769385591891E+000     4.2856604092181358E+000 
                         11     9.9999999992962518E-001     5.1835221361329842E-001     3.6851703678206715E+000    -7.1979242510901846E+000     4.2914708299156894E+000 
                         12     9.9999999989212518E-001     5.1834885340239467E-001     3.6860520633537619E+000    -7.1921669725487067E+000     4.2981109414275123E+000 
                         13     9.9999999984993770E-001     5.1834512285624224E-001     3.6876521242097429E+000    -7.1820443874847770E+000     4.3098374295614663E+000 
                         14     9.9999999974837517E-001     5.1833634844102672E-001     3.6896850019567271E+000    -7.1698514464977894E+000     4.3240651897282909E+000 
                         15     9.9999999967025022E-001     5.1832978540339125E-001     3.6914714882249196E+000    -7.1596249949476993E+000     4.3360681865477639E+000 
                         16     9.9999999959212527E-001     5.1832337481483903E-001     3.6939961786942410E+000    -7.1458344735092139E+000     4.3523374525704472E+000 
                         17     9.9999999945150031E-001     5.1831219572949383E-001     3.6963846807914944E+000    -7.1335514594098743E+000     4.3669165026465064E+000 
                         18     9.9999999938900030E-001     5.1830736553349699E-001     3.6986002889311469E+000    -7.1225522917096731E+000     4.3799565636706559E+000 
                         19     9.9999999926400029E-001     5.1829794626979220E-001     3.7008476335055782E+000    -7.1118943780814226E+000     4.3926164213321552E+000 
                         20     9.9999999920150029E-001     5.1829335058674686E-001     3.7023532226005913E+000    -7.1050523828248746E+000     4.4008556679927775E+000 
                         21     9.9999999913900028E-001     5.1828882659552833E-001     3.7046220799042082E+000    -7.0950141491199492E+000     4.4129301781017514E+000 
                         22     9.9999999901400027E-001     5.1827998494055594E-001     3.7072993612243779E+000    -7.0836918973652496E+000     4.4266068037445052E+000 
                         23     9.9999999892025027E-001     5.1827352400321702E-001     3.7107592243567429E+000    -7.0697769158179957E+000     4.4435819074586762E+000 
                         24     9.9999999873275025E-001     5.1826100876826076E-001     3.7140762468579696E+000    -7.0570993392468289E+000     4.4590262152484232E+000 
                         25     9.9999999865462530E-001     5.1825594380196693E-001     3.7165211004914189E+000    -7.0482496845830278E+000     4.4700433752181183E+000 
                         26     9.9999999853743782E-001     5.1824849927807615E-001     3.7194755731757829E+000    -7.0378104096955179E+000     4.4829082035612506E+000 
                         27     9.9999999842025034E-001     5.1824123119768972E-001     3.7224481774561533E+000    -7.0280654511538847E+000     4.4954010705787804E+000 
                         28     9.9999999830306285E-001     5.1823412403386526E-001     3.7264311606193847E+000    -7.0154353231644277E+000     4.5115193730578911E+000 
                         29     9.9999999810775031E-001     5.1822261754375687E-001     3.7309648283511376E+000    -7.0020636573650270E+000     4.5289692769847969E+000 
                         30     9.9999999795150030E-001     5.1821369082526114E-001     3.7350275632819865E+000    -6.9906910872743468E+000     4.5439127193741928E+000 
                         31     9.9999999779525028E-001     5.1820499430117128E-001     3.7391335245437682E+000    -6.9799897732975360E+000     4.5583594511543115E+000 
                         32     9.9999999763900027E-001     5.1819650894330682E-001     3.7432954254269442E+000    -6.9699154221567605E+000     4.5723425104109907E+000 
                         33     9.9999999748275026E-001     5.1818821767485390E-001     3.7475302965450750E+000    -6.9601879635065727E+000     4.5858925460784796E+000 
                         34     9.9999999732650025E-001     5.1818010959313232E-001     3.7518621461412667E+000    -6.9512447518451710E+000     4.5990299567006536E+000 
                         35     9.9999999717025023E-001     5.1817216632939345E-001     3.7557651175248390E+000    -6.9437477279141673E+000     4.6102107291693626E+000 
                         36     9.9999999705306275E-001     5.1816631056060258E-001     3.7603355214445870E+000    -6.9356568386739506E+000     4.6226462645541240E+000 
                         37     9.9999999685775021E-001     5.1815673057327349E-001     3.7657653327009375E+000    -6.9275272249485900E+000     4.6362241409187845E+000 
                         38     9.9999999670150019E-001     5.1814920826787580E-001     3.7720931402187126E+000    -6.9192766472638807E+000     4.6508294756178037E+000 
                         39     9.9999999646712523E-001     5.1813813643468876E-001     3.7783227686288208E+000    -6.9127962631706312E+000     4.6635683751438517E+000 
                         40     9.9999999634993775E-001     5.1813268219846698E-001     3.7826677610956012E+000    -6.9088731862266162E+000     4.6718604870383871E+000 
                         41     9.9999999623275027E-001     5.1812727680694648E-001     3.7880069116737816E+000    -6.9047659847772023E+000     4.6813375163811095E+000 
                         42     9.9999999607650025E-001     5.1812013714731076E-001     3.7945962064013492E+000    -6.9008123938589678E+000     4.6919206036660599E+000 
                         43     9.9999999592025024E-001     5.1811306184110273E-001     3.7999493348507571E+000    -6.8984309009416895E+000     4.6996936918298049E+000 
                         44     9.9999999584212529E-001     5.1810954340521365E-001     3.8036506887646309E+000    -6.8970552654036243E+000     4.7047987079767859E+000 
                         45     9.9999999576400034E-001     5.1810603601128902E-001     3.8094066674449318E+000    -6.8953121010625740E+000     4.7123477659542248E+000 
                         46     9.9999999560775032E-001     5.1809904906960980E-001     3.8176165074701394E+000    -6.8937435510440102E+000     4.7222125787610141E+000 
                         47     9.9999999545150031E-001     5.1809208698187870E-001     3.8261520758668612E+000    -6.8927467926213462E+000     4.7318572253124946E+000 
                         48     9.9999999529525030E-001     5.1808514052097088E-001     3.8326198006904013E+000    -6.8922160893124111E+000     4.7389562402957566E+000 
                         49     9.9999999521712535E-001     5.1808167140737815E-001     3.8368921853045932E+000    -6.8918967091760699E+000     4.7436220689693780E+000 
                         50     9.9999999513900040E-001     5.1807820476099042E-001     3.8432052015608487E+000    -6.8914282172592367E+000     4.7505320954651218E+000 
                         51     9.9999999498275038E-001     5.1807127869481551E-001     3.8513077995128322E+000    -6.8906853270387325E+000     4.7595770440082257E+000 
                         52     9.9999999482650037E-001     5.1806436413548484E-001     3.8589804793930873E+000    -6.8897235659067189E+000     4.7684386795314753E+000 
                         53     9.9999999467025036E-001     5.1805746454256751E-001     3.8661878657219670E+000    -6.8885006117109180E+000     4.7771234193884107E+000 
                         54     9.9999999451400035E-001     5.1805058402380366E-001     3.8762584876392610E+000    -6.8862966728493031E+000     4.7898345924388215E+000 
                         55     9.9999999420150032E-001     5.1803689167041023E-001     3.8851071311274357E+000    -6.8832653194571183E+000     4.8021839006810838E+000 
                         56     9.9999999404525031E-001     5.1803009263210997E-001     3.8906048422408386E+000    -6.8810579171920416E+000     4.8102272373248116E+000 
                         57     9.9999999388900029E-001     5.1802332774690496E-001     3.8983008547846376E+000    -6.8775081926694561E+000     4.8220201297717065E+000 
                         58     9.9999999357650027E-001     5.1800990717631989E-001     3.9073701250219717E+000    -6.8721028493606813E+000     4.8372646672346624E+000 
                         59     9.9999999326400024E-001     5.1799665138520767E-001     3.9154317915018422E+000    -6.8662456913436749E+000     4.8519945104373683E+000 
                         60     9.9999999295150022E-001     5.1798357197994371E-001     3.9226555313192906E+000    -6.8600634664729503E+000     4.8662407371465095E+000 
                         61     9.9999999263900019E-001     5.1797067628549609E-001     3.9291771135716074E+000    -6.8536470613317730E+000     4.8800361684164653E+000 
                         62     9.9999999232650016E-001     5.1795796859191401E-001     3.9351053967001985E+000    -6.8470757267484705E+000     4.8934089132057181E+000 
                         63     9.9999999201400014E-001     5.1794545064117392E-001     3.9405279087717378E+000    -6.8404055816973006E+000     4.9063847922305159E+000 
                         64     9.9999999170150011E-001     5.1793312242155731E-001     3.9455155067168008E+000    -6.8336791049098586E+000     4.9189838525937919E+000 
                         65     9.9999999138900009E-001     5.1792098264795383E-001     3.9501261091320394E+000    -6.8269282391447446E+000     4.9312316992187819E+000 
                         66     9.9999999107650006E-001     5.1790902912659997E-001     3.9565322655669810E+000    -6.8169332007401362E+000     4.9489769729707946E+000 
                         67     9.9999999045150001E-001     5.1788566315750473E-001     3.9621477424779226E+000    -6.8067795651801362E+000     4.9660304516273168E+000 
                         68     9.9999999013899998E-001     5.1787424877721877E-001     3.9656557128852881E+000    -6.8001392055750403E+000     4.9770396539183102E+000 
                         69     9.9999998982649996E-001     5.1786300671556718E-001     3.9706029137179115E+000    -6.7903659617276970E+000     4.9930498684253823E+000 
                         70     9.9999998920149991E-001     5.1784102039495550E-001     3.9750448442596604E+000    -6.7805899591566376E+000     5.0084913372832185E+000 
                         71     9.9999998888899988E-001     5.1783027071182164E-001     3.9783918388703001E+000    -6.7730014261178377E+000     5.0203971422605358E+000 
                         72     9.9999998845570759E-001     5.1781562278546434E-001     3.9820262442794130E+000    -6.7642917565402314E+000     5.0338368840220724E+000 
                         73     9.9999998802241530E-001     5.1780126425519613E-001     3.9854335728004169E+000    -6.7557300957305610E+000     5.0468726376581916E+000 
                         74     9.9999998758912301E-001     5.1778718463354700E-001     3.9886390624586361E+000    -6.7473169461471416E+000     5.0595306906163229E+000 
                         75     9.9999998715583072E-001     5.1777337380701294E-001     3.9931687444336994E+000    -6.7350594394998389E+000     5.0778537681475182E+000 
                         76     9.9999998628924613E-001     5.1774651707532016E-001     3.9972490996012038E+000    -6.7229917592152875E+000     5.0954393371159643E+000 
                         77     9.9999998585595384E-001     5.1773345490436851E-001     3.9998319683758079E+000    -6.7151787884543053E+000     5.1067806548730141E+000 
                         78     9.9999998542266155E-001     5.1772062447378164E-001     4.0035191137984611E+000    -6.7037869301567294E+000     5.1232578623007461E+000 
                         79     9.9999998455607697E-001     5.1769562469799102E-001     4.0068964578332640E+000    -6.6926011401289456E+000     5.1391372603662022E+000 
                         80     9.9999998412278468E-001     5.1768344108476783E-001     4.0090512913115708E+000    -6.6853478625650462E+000     5.1494093766590181E+000 
                         81     9.9999998368949239E-001     5.1767145826366479E-001     4.0121499655079127E+000    -6.6747515484069364E+000     5.1643811056620441E+000 
                         82     9.9999998282290781E-001     5.1764806742371550E-001     4.0150235599623629E+000    -6.6643549261917627E+000     5.1788536384084543E+000 
                         83     9.9999998238961552E-001     5.1763664728402314E-001     4.0168679627038655E+000    -6.6575960507708913E+000     5.1882447156234655E+000 
                         84     9.9999998195632323E-001     5.1762540261859635E-001     4.0195351047257066E+000    -6.6477061704025067E+000     5.2019582854232729E+000 
                         85     9.9999998108973864E-001     5.1760341711093438E-001     4.0228616751434885E+000    -6.6348515129392664E+000     5.2196008647056802E+000 
                         86     9.9999998022315406E-001     5.1758206961987341E-001     4.0259830972873019E+000    -6.6224087323706851E+000     5.2365568071097135E+000 
                         87     9.9999997935656948E-001     5.1756132205160110E-001     4.0289227321658316E+000    -6.6103570733210981E+000     5.2528785303516177E+000 
                         88     9.9999997848998490E-001     5.1754113945970470E-001     4.0317001071555953E+000    -6.5986814671635852E+000     5.2686118797498720E+000 
                         89     9.9999997762340032E-001     5.1752148952637378E-001     4.0343317266193610E+000    -6.5873639612614223E+000     5.2837971276859648E+000 
                         90     9.9999997675681573E-001     5.1750234248080762E-001     4.0368317085266820E+000    -6.5763832016901480E+000     5.2984738078076212E+000 
                         91     9.9999997589023115E-001     5.1748367104400583E-001     4.0392122561333954E+000    -6.5657245453375017E+000     5.3126718514937288E+000 
                         92     9.9999997502364657E-001     5.1746544995114574E-001     4.0413805011882520E+000    -6.5558308133055920E+000     5.3258034146060416E+000 
                         93     9.9999997423623588E-001     5.1744926457908291E-001     4.0443498300607059E+000    -6.5421955113298491E+000     5.3438993261652286E+000 
                         94     9.9999997266141438E-001     5.1741788921880738E-001     4.0471053660607845E+000    -6.5289564069656967E+000     5.3612747342539500E+000 
                         95     9.9999997187400369E-001     5.1740267009977714E-001     4.0497569967189353E+000    -6.5162427910248697E+000     5.3779846045762829E+000 
                         96     9.9999997029918219E-001     5.1737310542754134E-001     4.0522367002356878E+000    -6.5038724732169664E+000     5.3940800503681299E+000 
                         97     9.9999996951177150E-001     5.1735873602679994E-001     4.0538349725116110E+000    -6.4958669382892618E+000     5.4044898259813339E+000 
                         98     9.9999996872436081E-001     5.1734462768935818E-001     4.0561553612000152E+000    -6.4842053967426692E+000     5.4196516578083962E+000 
                         99     9.9999996714953931E-001     5.1731715465279060E-001     4.0590695776217318E+000    -6.4691789633350725E+000     5.4390816023301598E+000 
                        100     9.9999996557471782E-001     5.1729061096528139E-001     4.0618214712558025E+000    -6.4547571732594351E+000     5.4576877477409811E+000 
                        101     9.9999996399989632E-001     5.1726492961801518E-001     4.0644279726518509E+000    -6.4409019507403498E+000     5.4755302002738828E+000 
                        102     9.9999996242507483E-001     5.1724005030283482E-001     4.0669035717882034E+000    -6.4275604601242335E+000     5.4926740019842626E+000 
                        103     9.9999996085025333E-001     5.1721591957360780E-001     4.0692608013897500E+000    -6.4146865042904162E+000     5.5091693214654605E+000 
                        104     9.9999995927543184E-001     5.1719248981407484E-001     4.0715105552573441E+000    -6.4022433446462816E+000     5.5250639532796049E+000 
                        105     9.9999995770061034E-001     5.1716971819166890E-001     4.0736623162721415E+000    -6.3902006212075380E+000     5.5404011975036545E+000 
                        106     9.9999995612578885E-001     5.1714756590125865E-001     4.0757243615314831E+000    -6.3785325405849731E+000     5.5552185067531319E+000 
                        107     9.9999995455096735E-001     5.1712599759028455E-001     4.0777039363943794E+000    -6.3672230581051519E+000     5.5695498991149615E+000 
                        108     9.9999995297614586E-001     5.1710498059958432E-001     4.0796074184791857E+000    -6.3562552258945146E+000     5.5834253661120439E+000 
                        109     9.9999995140132436E-001     5.1708448479512503E-001     4.0814404574832874E+000    -6.3456114322920234E+000     5.5968740198418008E+000 
                        110     9.9999994982650287E-001     5.1706448240364922E-001     4.0841047613800363E+000    -6.3301762039905309E+000     5.6164113874203165E+000 
                        111     9.9999994664901892E-001     5.1702552525395151E-001     4.0866024273224193E+000    -6.3152675313064979E+000     5.6351688309944485E+000 
