                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                       2700                        1526     1.0000000000000000E+000     2.0000000000000000E-002     1.1954038294455982E+010     3.3222259821704531E+004     4.3130945403485157E+003     6.5949528735003000E+001     1.4564203189308234E+001     1.7443359324790400E+001     1.0000000000417079E-099     1.0000004510709261E-099     9.8011248006853235E-001     5.4829459118902699E-005     9.6980083857540113E-003     3.9448978533776899E-003     2.0994599497004989E-003     1.0000000000000000E+000     0.0000000000000000E+000     4.9778715940810614E-001     9.7069619624548422E-004     4.8126970354030002E-001     2.2095911788178493E-003     4.0757845676891395E-003     7.4972808756308051E-003     2.0994599496976887E-003     2.6626318833605150E-001     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     9.9999948048778298E-001     1.4518682808076496E+001     9.9999930578641505E-001     1.4506558723606979E+001     5.5649807373894146E+005     2.4438869550709049E+004     1.5163110626888311E+008     6.5650755187992999E+001     6.5650755187992672E+001     4.5349351838154310E-015     4.4868055025466411E+000     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6 
                       zone                           q                        logR                        logT                      logRho                        logP 
                          1     1.0000000000000000E+000     1.1632867292690323E+000     3.6347891152034242E+000    -7.8445136013952830E+000     3.5946617956398437E+000 
                          2     9.9999999999900002E-001     1.1632867246546235E+000     3.6347894244121610E+000    -7.8445122646584657E+000     3.5946626758419344E+000 
                          3     9.9999999999775002E-001     1.1632867188866307E+000     3.6347897679794405E+000    -7.8445090864918878E+000     3.5946675157486947E+000 
                          4     9.9999999999650002E-001     1.1632867131186795E+000     3.6347902833331167E+000    -7.8445048631872067E+000     3.5946716311617060E+000 
                          5     9.9999999999400002E-001     1.1632867015828883E+000     3.6347913140464265E+000    -7.8444985990408433E+000     3.5946792667426011E+000 
                          6     9.9999999998900002E-001     1.1632866785116376E+000     3.6347924306710300E+000    -7.8444898357649544E+000     3.5946883258120605E+000 
                          7     9.9999999998587508E-001     1.1632866640923947E+000     3.6347932896215935E+000    -7.8444838316107823E+000     3.5946949260315550E+000 
                          8     9.9999999998275013E-001     1.1632866496733507E+000     3.6347945780589375E+000    -7.8444759392349308E+000     3.5947045028580216E+000 
                          9     9.9999999997650013E-001     1.1632866208357779E+000     3.6347975844680280E+000    -7.8444544632427737E+000     3.5947290893125423E+000 
                         10     9.9999999996087519E-001     1.1632865487453938E+000     3.6348040270717568E+000    -7.8444091840881116E+000     3.5947806458986089E+000 
                         11     9.9999999992962518E-001     1.1632864045795439E+000     3.6348134771539145E+000    -7.8443431111033393E+000     3.5948573331170874E+000 
                         12     9.9999999989212518E-001     1.1632862316066526E+000     3.6348244319428975E+000    -7.8442665679367538E+000     3.5949442081300171E+000 
                         13     9.9999999984993770E-001     1.1632860370461973E+000     3.6348441959914437E+000    -7.8441276952236239E+000     3.5951021465037294E+000 
                         14     9.9999999974837517E-001     1.1632855688085946E+000     3.6348689092050512E+000    -7.8439506788001765E+000     3.5952993088155312E+000 
                         15     9.9999999967025022E-001     1.1632852087715717E+000     3.6348904038986278E+000    -7.8437861749912532E+000     3.5954701415293795E+000 
                         16     9.9999999959212527E-001     1.1632848488700038E+000     3.6349205026875886E+000    -7.8435207400248963E+000     3.5957122902977510E+000 
                         17     9.9999999945150031E-001     1.1632842014407503E+000     3.6349828671436457E+000    -7.8427161519897188E+000     3.5962067100608830E+000 
                         18     9.9999999913900028E-001     1.1632827653617166E+000     3.6350560113170829E+000    -7.8415465210742337E+000     3.5967890042772006E+000 
                         19     9.9999999892025027E-001     1.1632817628016332E+000     3.6351388390445192E+000    -7.8400005777719857E+000     3.5974469713631048E+000 
                         20     9.9999999853743782E-001     1.1632800145391391E+000     3.6352238214177830E+000    -7.8382902689227594E+000     3.5981207963058850E+000 
                         21     9.9999999830306285E-001     1.1632789483709296E+000     3.6353045064952787E+000    -7.8369017422246472E+000     3.5987592763745186E+000 
                         22     9.9999999795150041E-001     1.1632773542089352E+000     3.6353959905579338E+000    -7.8353200788801836E+000     3.5994814959773431E+000 
                         23     9.9999999763900038E-001     1.1632759423127179E+000     3.6355198233322343E+000    -7.8335870321584906E+000     3.6004574242541536E+000 
                         24     9.9999999705306286E-001     1.1632733055134294E+000     3.6356492153836681E+000    -7.8320091188890792E+000     3.6014724530660649E+000 
                         25     9.9999999670150042E-001     1.1632717291486245E+000     3.6357840972287341E+000    -7.8304758421296699E+000     3.6025282284527211E+000 
                         26     9.9999999607650036E-001     1.1632689365566888E+000     3.6359354065532741E+000    -7.8290229738396278E+000     3.6037079670120105E+000 
                         27     9.9999999560775032E-001     1.1632668490724996E+000     3.6361301666724319E+000    -7.8273268772543609E+000     3.6052205574532268E+000 
                         28     9.9999999467025036E-001     1.1632626902875514E+000     3.6363905247134563E+000    -7.8252008147138241E+000     3.6072263011521875E+000 
                         29     9.9999999373275039E-001     1.1632585516933318E+000     3.6366298130285064E+000    -7.8234154959164730E+000     3.6090592983155556E+000 
                         30     9.9999999295150044E-001     1.1632551169234828E+000     3.6369567883349352E+000    -7.8210809029743711E+000     3.6115456782818449E+000 
                         31     9.9999999138900042E-001     1.1632482839702809E+000     3.6375867224958669E+000    -7.8167668248626567E+000     3.6162765582881544E+000 
                         32     9.9999998845570814E-001     1.1632355823541867E+000     3.6383074570062468E+000    -7.8121070326229169E+000     3.6215786590092471E+000 
                         33     9.9999998628924680E-001     1.1632263006488988E+000     3.6392925905859683E+000    -7.8059574722808129E+000     3.6286868903184830E+000 
                         34     9.9999998152303182E-001     1.1632061659555628E+000     3.6406651232730018E+000    -7.7977428393749459E+000     3.6382768000526537E+000 
                         35     9.9999997675681684E-001     1.1631864058059376E+000     3.6429867708984056E+000    -7.7844832113342095E+000     3.6538637952124589E+000 
                         36     9.9999996557471904E-001     1.1631414301649654E+000     3.6456018768724685E+000    -7.7706321974471075E+000     3.6703391929570865E+000 
                         37     9.9999995927543317E-001     1.1631168831515510E+000     3.6479837015404390E+000    -7.7586945812919490E+000     3.6846650631222468E+000 
                         38     9.9999994982650442E-001     1.1630810534766833E+000     3.6506580851144967E+000    -7.7460768889239784E+000     3.6999635673055771E+000 
                         39     9.9999994188279462E-001     1.1630517874598238E+000     3.6531263569053425E+000    -7.7350300139407580E+000     3.7134848523309518E+000 
                         40     9.9999993393908482E-001     1.1630232507796747E+000     3.6554287883704473E+000    -7.7251899922630187E+000     3.7256314364972156E+000 
                         41     9.9999992718693143E-001     1.1629995337262233E+000     3.6574370375317464E+000    -7.7169270457885659E+000     3.7359060573298137E+000 
                         42     9.9999992118689773E-001     1.1629788525244484E+000     3.6599094326466735E+000    -7.7071074063198974E+000     3.7482002933505436E+000 
                         43     9.9999991152769208E-001     1.1629462970737465E+000     3.6629715498492250E+000    -7.6954625201351945E+000     3.7629058216633360E+000 
                         44     9.9999990186848642E-001     1.1629145959096010E+000     3.6665454433256390E+000    -7.6824779366565972E+000     3.7794626187536076E+000 
                         45     9.9999988898954550E-001     1.1628735624187434E+000     3.6696098052936263E+000    -7.6718272124512596E+000     3.7931740738455826E+000 
                         46     9.9999988255007510E-001     1.1628535384880769E+000     3.6721546905484219E+000    -7.6632639593661356E+000     3.8042793802136332E+000 
                         47     9.9999987289086945E-001     1.1628240839947797E+000     3.6752269378426639E+000    -7.6532534061919710E+000     3.8173587049623667E+000 
                         48     9.9999986306017752E-001     1.1627947837122439E+000     3.6783136091779802E+000    -7.6435271334523005E+000     3.8301699001701230E+000 
                         49     9.9999985322948559E-001     1.1627661265969120E+000     3.6813866344020258E+000    -7.6341532080868344E+000     3.8426171926884725E+000 
                         50     9.9999984339879366E-001     1.1627380759030841E+000     3.6848270666033289E+000    -7.6240050773608807E+000     3.8562104502565906E+000 
                         51     9.9999983111042878E-001     1.1627038149880926E+000     3.6892792784380157E+000    -7.6113908425303318E+000     3.8732834572008974E+000 
                         52     9.9999981462414511E-001     1.1626591536453570E+000     3.6940052776207435E+000    -7.5986374420521408E+000     3.8907740407703697E+000 
                         53     9.9999980045010983E-001     1.1626218568039217E+000     3.6972141802752412E+000    -7.5903503286060827E+000     3.9022796494050516E+000 
                         54     9.9999979377997561E-001     1.1626046338441556E+000     3.7005428540567551E+000    -7.5820368755981464E+000     3.9139305980173673E+000 
                         55     9.9999977877217350E-001     1.1625666096760063E+000     3.7046770589168805E+000    -7.5722054930988199E+000     3.9279058177566890E+000 
                         56     9.9999976701012383E-001     1.1625374693101147E+000     3.7086134215317448E+000    -7.5633049051161194E+000     3.9407520443128989E+000 
                         57     9.9999975340191127E-001     1.1625044319181799E+000     3.7139607535942072E+000    -7.5519448954217321E+000     3.9574706164371793E+000 
                         58     9.9999973285562038E-001     1.1624558247232504E+000     3.7191705536646391E+000    -7.5418108787533749E+000     3.9728248002705264E+000 
                         59     9.9999972087028399E-001     1.1624281171933917E+000     3.7227808419469008E+000    -7.5352240544461946E+000     3.9830300958415266E+000 
                         60     9.9999971059713855E-001     1.1624047212344049E+000     3.7281197016886245E+000    -7.5260763548537524E+000     3.9975271264496186E+000 
                         61     9.9999968833865682E-001     1.1623550740279356E+000     3.7348431595237375E+000    -7.5158819822010559E+000     4.0144606294021337E+000 
                         62     9.9999967121674782E-001     1.1623177586764617E+000     3.7402995068744884E+000    -7.5085060271169528E+000     4.0273085433055691E+000 
                         63     9.9999965742780073E-001     1.1622882064093900E+000     3.7460053087380514E+000    -7.5016018906877058E+000     4.0399383546771759E+000 
                         64     9.9999963994021224E-001     1.1622513099104421E+000     3.7514187471414893E+000    -7.4960168708730412E+000     4.0509572172947541E+000 
                         65     9.9999962939280729E-001     1.1622293361622984E+000     3.7577633373718933E+000    -7.4902759941914807E+000     4.0630710745323393E+000 
                         66     9.9999960829799728E-001     1.1621859559881480E+000     3.7652612089137318E+000    -7.4853290540079689E+000     4.0755552090536451E+000 
                         67     9.9999959585151010E-001     1.1621606444482284E+000     3.7695497918333833E+000    -7.4831374007547407E+000     4.0820624473920279E+000 
                         68     9.9999959043662623E-001     1.1621496866406913E+000     3.7735786466457446E+000    -7.4813582193551866E+000     4.0878992337611750E+000 
                         69     9.9999957960685848E-001     1.1621278581523213E+000     3.7794086955531001E+000    -7.4795716734611197E+000     4.0955588131787639E+000 
                         70     9.9999956877709073E-001     1.1621061160031150E+000     3.7857800052098534E+000    -7.4784711636521370E+000     4.1030890392149724E+000 
                         71     9.9999955794732298E-001     1.1620844256256060E+000     3.7916370671362110E+000    -7.4782135589030974E+000     4.1092681227778876E+000 
                         72     9.9999955072747782E-001     1.1620699721443690E+000     3.7966458088761206E+000    -7.4784032812235095E+000     4.1141487725126282E+000 
                         73     9.9999954350763265E-001     1.1620555109035839E+000     3.8020120769096142E+000    -7.4790174486524093E+000     4.1189754480907617E+000 
                         74     9.9999953628778748E-001     1.1620410277498241E+000     3.8077366596354865E+000    -7.4800608243122158E+000     4.1237510854957762E+000 
                         75     9.9999952906794232E-001     1.1620265083046586E+000     3.8137814912791348E+000    -7.4815017480542876E+000     4.1284747309202130E+000 
                         76     9.9999952184809715E-001     1.1620119391424828E+000     3.8200616632404198E+000    -7.4832540383872370E+000     4.1331483223136765E+000 
                         77     9.9999951462825198E-001     1.1619973096026439E+000     3.8296257606323874E+000    -7.4861664996269983E+000     4.1400652717816753E+000 
                         78     9.9999950018856176E-001     1.1619678491607159E+000     3.8390106827954384E+000    -7.4890779028604042E+000     4.1468772219522734E+000 
                         79     9.9999949296871660E-001     1.1619530175914803E+000     3.8450182771610653E+000    -7.4908616305960454E+000     4.1513597203973047E+000 
                         80     9.9999948574887143E-001     1.1619381234518942E+000     3.8522992555182736E+000    -7.4928718290612446E+000     4.1570027071243274E+000 
                         81     9.9999947458092819E-001     1.1619149746777651E+000     3.8604298206926826E+000    -7.4947499028405415E+000     4.1637610507501170E+000 
                         82     9.9999946341298496E-001     1.1618917218554210E+000     3.8715003660705531E+000    -7.4967307776483167E+000     4.1737088864319949E+000 
                         83     9.9999944107709848E-001     1.1618449923143219E+000     3.8808062628608546E+000    -7.4972162004278697E+000     4.1834363340213763E+000 
                         84     9.9999942990915525E-001     1.1618215957475282E+000     3.8864827430936320E+000    -7.4971786451923084E+000     4.1898056303790305E+000 
                         85     9.9999941874121201E-001     1.1617981974224230E+000     3.8943015944806816E+000    -7.4966631715574188E+000     4.1991877859440612E+000 
                         86     9.9999939640532554E-001     1.1617514449569966E+000     3.9048927915575549E+000    -7.4945936060620726E+000     4.2135745830309732E+000 
                         87     9.9999936596292383E-001     1.1616880030890222E+000     3.9151021753205222E+000    -7.4908138967359292E+000     4.2296082133010824E+000 
                         88     9.9999933552052211E-001     1.1616250835119593E+000     3.9233738997240586E+000    -7.4863706266716745E+000     4.2442966290430526E+000 
                         89     9.9999930822234717E-001     1.1615692139315321E+000     3.9302666957663956E+000    -7.4816897217492349E+000     4.2577471021504403E+000 
                         90     9.9999928092417223E-001     1.1615139220654893E+000     3.9379423616764542E+000    -7.4754858687377235E+000     4.2740037586760327E+000 
                         91     9.9999923997690976E-001     1.1614321218800603E+000     3.9451659729155564E+000    -7.4681168495182702E+000     4.2911187496517389E+000 
                         92     9.9999920632370565E-001     1.1613659903278681E+000     3.9515361345989177E+000    -7.4606849925238077E+000     4.3073894129705952E+000 
                         93     9.9999916631547237E-001     1.1612886662061923E+000     3.9572495282110878E+000    -7.4529609321604804E+000     4.3232387006824498E+000 
                         94     9.9999913192335865E-001     1.1612233359424400E+000     3.9626653531002711E+000    -7.4449109343176616E+000     4.3391748526474414E+000 
                         95     9.9999908875936760E-001     1.1611428081256392E+000     3.9671837078348267E+000    -7.4373373358019856E+000     4.3534629989622839E+000 
                         96     9.9999905998337357E-001     1.1610900267099582E+000     3.9716697864079351E+000    -7.4294357332516459E+000     4.3681682440830478E+000 
                         97     9.9999901224400090E-001     1.1610039998613080E+000     3.9772110930649709E+000    -7.4186712761551865E+000     4.3875185941704178E+000 
