                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                        200                         508     2.0000000000000000E+001     2.0000000000000000E-002     8.0778353708431143E+002     1.3577373119005712E+001     4.2534237349500881E+003     1.1492722962720360E+004     1.9769377983742575E+002    -1.1941131114959717E+001     7.0000000000000007E-001     2.9797635251138523E-005     2.7997020236474890E-001     3.4416106108120285E-003     1.0081585468366041E-003     9.3604466091399777E-003     2.0994599496976496E-003     2.0000000000000000E+001     0.0000000000000000E+000     1.4000000000000007E+001     5.9595270502277070E-004     5.5994040472949749E+000     6.8832212216240571E-002     2.0163170936732065E-002     1.8720893218279935E-001     4.1989198993953016E-002     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     1.9999762636876099E+001     1.9729389552495340E+002     1.9999712389376658E+001     1.9721990474833140E+002     6.2231186489207894E+006     4.1326020547867947E+003     1.7402316287336960E+007     2.1032517871978785E-016     2.1032517871978785E-016     0.0000000000000000E+000     8.4144054045017253E-018     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6 
                       zone                           q                        logR                        logT                      logRho                        logP 
                          1     1.0000000000000000E+000     2.2959930050507498E+000     3.6287386562333657E+000    -8.3771750215743435E+000     3.0563023122516664E+000 
                          2     9.9999999999900002E-001     2.2959930049249477E+000     3.6287386951293539E+000    -8.3771744332784408E+000     3.0563041748028077E+000 
                          3     9.9999999999304767E-001     2.2959930041761263E+000     3.6287387742201171E+000    -8.3771739497596958E+000     3.0563040974305968E+000 
                          4     9.9999999998486311E-001     2.2959930031464961E+000     3.6287388657989434E+000    -8.3771729679534950E+000     3.0563048995793740E+000 
                          5     9.9999999997667854E-001     2.2959930021168677E+000     3.6287389990046122E+000    -8.3771728802417886E+000     3.0563057535832798E+000 
                          6     9.9999999996105349E-001     2.2959930001512148E+000     3.6287391738373924E+000    -8.3771718722439061E+000     3.0563076682630799E+000 
                          7     9.9999999994542843E-001     2.2959929981855667E+000     3.6287393778090808E+000    -8.3771710531633250E+000     3.0563072549794712E+000 
                          8     9.9999999992459510E-001     2.2959929955647067E+000     3.6287396109199839E+000    -8.3771683814826723E+000     3.0563106183914486E+000 
                          9     9.9999999990376176E-001     2.2959929929438654E+000     3.6287399605874375E+000    -8.3771652126920380E+000     3.0563142149462736E+000 
                         10     9.9999999986209509E-001     2.2959929877022178E+000     3.6287406099724575E+000    -8.3771611587869774E+000     3.0563193385351264E+000 
                         11     9.9999999978769027E-001     2.2959929783422197E+000     3.6287414425228128E+000    -8.3771548083126177E+000     3.0563263250935773E+000 
                         12     9.9999999971328546E-001     2.2959929689823584E+000     3.6287426580540734E+000    -8.3771467236874422E+000     3.0563355632091467E+000 
                         13     9.9999999957042829E-001     2.2959929510117565E+000     3.6287442565812005E+000    -8.3771366423081499E+000     3.0563481910386936E+000 
                         14     9.9999999942757112E-001     2.2959929330415698E+000     3.6287466544012017E+000    -8.3771192774439776E+000     3.0563666671736129E+000 
